"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2023","6,661.88","6,664.67","6,679.63","6,652.90","14.23B","-0.04%"
"06/26/2023","6,664.67","6,639.73","6,674.06","6,622.18","12.60B","0.38%"
"06/23/2023","6,639.73","6,652.26","6,665.66","6,635.48","11.34B","-0.19%"
"06/22/2023","6,652.26","6,702.77","6,717.98","6,652.26","16.85B","-0.75%"
"06/21/2023","6,702.63","6,660.46","6,702.63","6,635.67","12.03B","0.63%"
"06/20/2023","6,660.46","6,686.06","6,692.44","6,626.15","11.83B","-0.38%"
"06/19/2023","6,686.06","6,698.55","6,705.04","6,669.05","16.14B","-0.19%"
"06/16/2023","6,698.55","6,713.52","6,726.46","6,669.34","17.21B","-0.23%"
"06/15/2023","6,713.79","6,699.72","6,717.46","6,660.91","15.12B","0.21%"
"06/14/2023","6,699.72","6,718.87","6,744.64","6,672.86","17.83B","-0.29%"
"06/13/2023","6,719.01","6,722.37","6,744.04","6,697.07","17.66B","-0.05%"
"06/12/2023","6,722.37","6,694.58","6,722.37","6,670.52","15.87B","0.42%"
"06/09/2023","6,694.02","6,666.05","6,703.82","6,648.96","18.28B","0.42%"
"06/08/2023","6,666.33","6,619.75","6,666.33","6,598.42","16.86B","0.70%"
"06/07/2023","6,619.75","6,619.06","6,638.58","6,578.76","16.29B","0.01%"
"06/06/2023","6,618.92","6,633.44","6,677.57","6,602.00","23.18B","-0.22%"
"06/05/2023","6,633.44","6,633.26","6,663.71","6,598.51","15.27B","0.00%"
"05/31/2023","6,633.26","6,636.42","6,657.65","6,562.96","61.51B","-0.05%"
"05/30/2023","6,636.42","6,681.10","6,700.24","6,636.42","17.38B","-0.67%"
"05/29/2023","6,681.10","6,687.28","6,708.37","6,617.24","16.48B","-0.09%"
"05/26/2023","6,687.00","6,704.23","6,727.29","6,669.24","18.15B","-0.26%"
"05/25/2023","6,704.23","6,745.80","6,749.71","6,702.53","15.70B","-0.62%"
"05/24/2023","6,745.80","6,736.68","6,755.88","6,713.89","13.77B","0.14%"
"05/23/2023","6,736.68","6,729.65","6,772.65","6,727.07","16.22B","0.10%"
"05/22/2023","6,729.65","6,700.56","6,757.62","6,675.88","16.75B","0.43%"
"05/19/2023","6,700.56","6,663.11","6,715.03","6,662.75","16.16B","0.56%"
"05/17/2023","6,663.11","6,676.42","6,706.60","6,661.47","18.04B","-0.20%"
"05/16/2023","6,676.56","6,711.74","6,729.07","6,659.07","15.64B","-0.52%"
"05/15/2023","6,711.74","6,708.46","6,729.30","6,656.65","14.26B","0.06%"
"05/12/2023","6,707.76","6,755.94","6,755.94","6,704.57","17.38B","-0.71%"
"05/11/2023","6,755.94","6,811.90","6,814.12","6,717.42","16.29B","-0.82%"
"05/10/2023","6,811.90","6,780.40","6,820.12","6,775.19","18.15B","0.47%"
"05/09/2023","6,779.98","6,769.63","6,793.77","6,742.18","17.21B","0.15%"
"05/08/2023","6,769.63","6,787.49","6,798.32","6,756.66","17.96B","-0.27%"
